	BP4	BP5	BP6	BP7	BP8	BP9	DBS1.1	DBS1.2	DBS1.3	DBS2.1	DBS2.4	DBS2.5	DS3	DS4	DX1	DX2	DX4	Fk1	Fk2	Fk3	Fk4	Fk5	HSP1	HSP2	JA1	JA2	JA3	JA4	JA5	JA6	LL2	LL3	LL4	LL6	LL7	LSA1	LSA2	LSA3	LSA4	LSA5	MAS1	MAS2	MAS3	MAS4	MAS5	SKS1	SKS3	SKS4	SKS5	TL1.1	TL1.2	TL1.3	TL1.4	TL1.5	TL2.1	TL2.2	TL2.3	TL2.4	TL2.5	WH1	WH2	WH3	WH4	WH5	WY1	WY2	WY3	WY4	WY5	YF1	YF2	YF3	YF4	YF5	YP1	YP2	YP3	YP4	YP5	YS1	YS2	YS3	YS4	YS5	ZJ1	ZJ2	ZJ3	ZJ4	ZJ5	ZJ7
ASV0001	598	2395	804	900	755	1550	69	103	2307	22	7	762	16	17	49	54	53	2	0	7	0	0	39	24	11896	12358	11842	13084	6547	14227	129	136	139	110	76	2	6	5	4	2	1	4	5	3	2	112	102	68	71	4	6	3	1	5	2	2	1	0	1	5	1	1	2	0	75	36	64	48	39	7274	1991	18811	10935	2665	19	21	33	18	15	57	42	39	31	58	4817	6969	5611	5135	5288	4646
ASV0002	81	82	68	79	91	108	211	549	263	51	32	365	877	795	15	19	29	26	9	31	37	50	2841	1027	17	25	15	17	24	13	54	81	65	60	46	1501	1589	813	1179	1126	64	61	72	45	76	133	88	81	49	9881	6452	3142	2515	237	3701	6340	6914	5987	4975	4540	125	5236	583	6176	68	39	48	73	40	382	2763	1133	1897	2973	2	17	19	75	7	1096	3808	3102	3044	4261	29	27	32	38	22	42
ASV0003	122	272	162	196	166	210	1401	1914	1210	957	1671	737	5665	4796	452	5712	5928	32	8	765	471	342	2829	1390	38	33	25	22	35	30	612	267	357	144	161	226	456	301	219	310	1191	285	103	101	47	697	135	139	226	186	213	0	0	186	1578	67	96	431	375	5604	424	1170	6888	99	143	170	124	142	179	77	795	741	915	520	529	29	37	707	113	11662	6882	2260	2220	3656	56	41	59	59	38	33
ASV0005	2	4	0	1	10	0	17	11	12	10	10	3	15	4	22	5	6	6	10	11	14	4	7493	6311	3	3	3	1	5	3	3	0	0	1	2	357	413	471	767	622	9	17	21	7	9	331	45	83	21	660	1153	132	103	0	835	2126	1485	2239	4806	3639	52	5675	2661	5252	14	19	18	15	14	35	31	30	10	41	15	15	12	11	8	27	537	1339	1197	838	4	3	7	4	4	0
ASV0006	196	225	140	143	97	196	1276	1283	2141	77	24	1512	1598	1361	1012	549	956	6	2	13	32	16	35	21	3741	4012	1072	630	522	310	419	792	499	592	562	481	546	376	351	571	612	143	475	175	952	396	361	1011	1117	17	8	12	8	117	2	4	3	2	2	65	271	32	28	5	829	451	401	289	297	712	106	108	112	91	84	387	778	881	247	189	835	436	258	240	1138	301	805	918	945	650
ASV0007	51	70	64	57	49	65	791	2171	222	189	410	63	2536	3127	3	6	3	840	5	351	1548	1520	174	1083	11	5	11	23	3	2	37	40	31	31	26	1843	1465	3952	2197	2262	37	139	83	29	29	1305	74	188	2631	2145	162	3576	1710	615	1	2	1	3	2	10	205	13	5	5	80	74	235	105	75	258	1018	209	401	2851	0	2	3	8	2	12	17	28	41	17	8	7	17	10	18	21
ASV0008	5	7	8	2	7	4	10	24	35	1	23	1456	0	3	3	7	7	8	55	23	16	25	5	5	391	1065	2171	1862	2206	2461	148	614	88	3551	5013	29	59	30	14	17	503	465	178	11	61	290	4093	6710	8799	1	2	1	1	20	1	2	0	1	0	6	760	2	15	1	2	3	1	4	2	58	35	21	41	24	1	5	2	5	3	6	10	3	7	4	10	47	16	44	37	48
ASV0009	5	2	0	0	0	1	207	175	259	74	1589	217	379	361	6139	1086	3551	3297	633	1170	1943	1667	27	27	16	6	19	9	54	9	0	1	1	2	0	818	637	795	822	737	79	395	371	998	165	142	7	10	207	105	157	323	352	478	15	38	27	22	16	2	325	15	6	16	30	41	43	25	24	103	85	15	36	79	1893	1893	2488	1275	2516	16	276	529	541	409	19	0	4	7	8	0
ASV0011	15	16	17	14	16	26	19	18	23	12	6	21	31	78	8	5	1	6	4	4	7	9	582	47	2	1	1	2	0	1	9	9	7	12	2	473	649	389	658	553	60	131	82	18	26	14	9	13	2	1092	1395	2219	2778	254	2408	3321	2629	3723	4187	244	170	1663	138	5317	12	11	22	15	23	70	86	11	43	22	0	3	0	2	3	6	127	138	190	454	0	4	1	2	4	11
ASV0014	9	2	2	2	1	4	317	136	96	1456	349	295	4	0	7	6	0	518	2844	1526	1364	1668	4	0	0	0	1	1	0	0	0	3	2	7	0	58	26	39	29	15	446	1352	914	2314	569	2	1	0	1	6	12	16	6	1213	0	10	5	0	5	1	930	0	0	1	11	4	11	8	7	1515	155	7	46	274	5235	2348	850	1142	45	9	15	111	167	172	36	4	6	7	6	5
ASV0017	30	12	13	27	29	27	6	14	4	2	2	1	378	410	8	5	10	1	0	1	6	1	3741	11344	10	9	11	13	9	5	24	20	17	8	16	1220	2150	1904	1214	3948	6	10	5	3	9	101	25	84	19	41	43	37	27	9	5	0	6	0	1	10	8	488	1	1	58	56	76	92	91	76	258	43	44	56	26	4	6	16	6	21	14	15	20	8	21	11	20	10	9	17
ASV0018	8	1	0	2	2	3	3665	2191	684	1165	118	484	52	23	617	1324	110	81	9	51	75	46	1	0	34	4	16	35	71	6	6	2	6	0	2	167	298	410	166	757	591	498	424	2917	1178	179	2	19	73	0	0	3	1	31	0	0	0	2	0	0	605	0	0	0	954	726	952	155	1819	629	234	1	9	132	162	1266	575	1164	108	3	6	211	71	39	11	2	3	2	3	4
ASV0019	3	0	5	5	3	3	1228	2456	1438	282	45	640	684	493	20	120	86	6	6	37	104	56	15	13	621	55	157	94	308	84	2	3	5	2	3	1414	1246	1459	1338	1391	318	757	820	1246	1233	154	8	28	303	111	116	281	212	394	2	30	25	24	19	4	612	2	3	7	90	217	88	67	25	436	714	40	155	257	15	127	488	534	93	20	210	468	570	281	8	2	1	4	3	2
ASV0020	3	5	0	0	0	0	75	58	63	46	28	59	309	304	12	6	6	7	102	119	46	76	1047	144	2	0	1	1	3	1	4	3	4	0	0	1249	1032	1044	1419	1291	302	369	445	112	189	167	10	14	219	795	1051	801	973	256	1857	1011	1236	1091	498	268	467	1077	446	666	30	52	52	26	26	120	712	148	385	654	64	42	26	92	5	3	255	418	432	334	1	2	2	3	0	1
ASV0021	27	21	23	21	25	19	56	13	63	5	18	70	55	57	10	6	1	5	152	126	76	68	0	1	87	19	121	50	143	23	13	14	14	9	9	2200	2434	1564	2120	1101	746	1002	2111	659	1830	0	2	2	0	150	228	398	296	5153	0	16	13	1	0	15	1728	0	0	4	12	16	15	13	18	7	118	40	159	95	0	0	5	3	8	0	4	59	27	8	0	1	2	0	2	10
ASV0023	13	0	7	7	2	3	0	0	15	0	544	181	377	436	210	1363	1560	35	3	432	300	1641	958	491	14	13	9	16	24	10	0	2	0	6	0	33	54	35	25	34	0	19	60	56	20	33	28	39	112	152	192	536	544	74	0	0	0	69	40	0	32	0	0	16	31	35	29	54	38	13	217	328	276	207	0	7	30	27	22	2893	1895	2133	1875	2211	23	15	21	22	16	7
ASV0024	43	44	34	37	27	55	93	89	233	84	22	248	1315	1158	6	11	4	2	4	10	23	3	470	573	21	14	33	10	54	7	295	240	264	147	115	284	455	242	293	221	186	108	32	30	64	48	34	30	50	18	6	4	6	37	40	317	425	977	1056	1087	77	359	317	360	30	24	31	31	33	72	2045	1081	1591	1323	51	9	7	709	6	1028	911	421	359	297	28	5	6	13	10	20
ASV0029	2	0	4	2	1	4	527	435	386	54	582	119	92	93	16	67	2	578	1891	1224	1017	1415	5	5	3	1	2	0	1	0	5	6	6	3	0	438	398	462	449	448	564	426	521	98	245	2	0	2	6	352	617	147	194	1654	70	359	619	504	291	5	425	16	5	333	33	38	43	29	28	148	221	61	144	316	97	337	89	202	26	10	181	327	339	264	5	0	0	1	1	3
ASV0030	19	10	19	10	21	20	18	18	28	14	21	119	104	125	3	2	3	15	93	80	24	44	15	3	2	4	1	2	2	2	18	21	19	7	13	250	250	136	169	128	372	258	101	14	136	52	8	4	10	220	798	467	534	141	42	1718	2776	1473	1432	63	310	8	110	1130	25	18	19	19	27	103	1040	327	651	540	0	3	9	0	4	49	303	822	1024	1263	2	5	4	5	6	11
