	BP4	BP5	BP6	BP7	BP8	BP9	DBS1-1	DBS1-2	DBS1-3	DBS2-1	DBS2-4	DBS2-5	DS3	DS4	DX1	DX2	DX4	FK1	FK2	FK3	FK4	FK5	HSP1	HSP2	JA1	JA2	JA3	JA4	JA5	JA6	LL2	LL3	LL4	LL6	LL7	LSA1	LSA2	LSA3	LSA4	LSA5	MAS1	MAS2	MAS3	MAS4	MAS5	SKS1	SKS3	SKS4	SKS5	TL1-1	TL1-2	TL1-3	TL1-4	TL1-5	TL2-1	TL2-2	TL2-3	TL2-4	TL2-5	WH1	WH2	WH3	WH4	WH5	WY1	WY2	WY3	WY4	WY5	YF1	YF2	YF3	YF4	YF5	YP1	YP2	YP3	YP4	YP5	YS1	YS2	YS3	YS4	YS5	ZJ1	ZJ2	ZJ3	ZJ4	ZJ5	ZJ7
BP4.bin1	5.331936997	4.646550069	4.83444415	5.678374876	4.289296467	4.45699464	0.713372841	0.614402289	0.529090367	0.467588628	0	0.236762447	0.090522065	0.104450211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161746002	0.295674446	0.255196054	0.196434898	0.236257761	0	0	0	0	0	0	0	0	0	0	0.05679278	0.035718041	0.043708931	0.02059597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18116328	0.240672675	0.211937304	0.160707006	0	0.018214519	0	0	0	0	0	0	0	0	0	0	0.174216765	0	0	0	0.344009505	0.175768629	0.269121875	0.278479356	0.292239401	0.311535431
BP4.bin11	37.98190736	21.54840795	48.4526235	116.1725412	65.8346825	78.19994115	2.064815891	1.009938772	4.418964665	17.7535388	0.085268768	0.319336374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.404680577	0	0	0	0	0	0	0	0	0.205680175	0	0	0.015642236	0	0	0	0	0	0.342770713	0.268234363	0	0	7.602021858	14.16921823	10.64789998	6.64942865	14.2314931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BP5.bin109	0.189509091	5.409686026	3.847154056	1.274169767	3.79889336	3.543196492	0.053679947	0.041020293	0.046119312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034846129	0.028439376	0.18328596	0.071048597	0.33676388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025646454	0.02355926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001318244	0	0	0	0	0	0	0	0	0	0.656516244	0.040607683	0.028316231	0	0	0	0	0	0.055288695	0.002591376	0.029223056	0.048595985	0.066531724	0.055456039
BP5.bin11	8.484836881	11.5143319	12.18745097	6.631172344	14.25661368	10.10908344	0.019286356	0.023276431	0.019685113	0	0.23959732	0	0.143449604	0.314470059	0	0	0	0	0	0.053422935	0	0	0	0	0	0	0	0	0	0	0.050838493	0.46617674	0.868329929	0.552748721	2.861289859	0	0	0	0	0	0	0	0	0	0	4.197945701	0.221863569	0.088544319	0.208593412	0	0	0	0	0	0	0	0	0	0	0	0	0.022095671	0	0	1.804424346	2.746562325	2.377232684	2.439993081	2.275498924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019746859	0	0	0
BP5.bin120	33.89531349	20.22588615	44.97903405	107.3569062	61.93708543	73.62513295	1.633956348	0.822343973	3.680349848	15.78960314	0.075531825	0.315057819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385884641	0	0	0	0	0	0	0	0	0.197753958	0	0	0.014673723	0	0	0	0	0	0.310706255	0.245759397	0	0	6.987899357	13.1619382	9.748613398	6.042305361	13.02650949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BP5.bin56	4.42828965	8.759745917	12.49588718	8.603759896	8.366919876	8.301521045	3.560384108	2.131652806	2.420154334	0.262748998	0	0.140397912	1.280470711	1.060290631	0.084114476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013285903	0.003159473	0.009205652	0	0	0	0	0	0	0	0	0	0	1.112638602	0.312574754	1.384264257	0.784938621	0	0	0	0	0	0	0	0	0	0	0	0	0.000282535	0	0	2.61107249	3.215526962	2.138586451	2.396684525	1.502949205	0	0	0	0	0	0	0	0	0	0	0	0.986465623	0	0	0	4.822626572	2.502075454	4.236861257	4.035684496	3.360243236	2.484122913
BP5.bin97	7.792890164	10.22120682	7.036579743	9.410708413	2.566251853	4.709951137	0.070879407	0.023719034	0.009405994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012491967	0.02517769	0.021997467	0.024070815	0.018147262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137593777	0.323349214	0.204826797	0.103932035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066542565	0.019377022	0.051510512	0.048568392	0.050970397	0.052304081
BP6.bin107	30.44795545	5.483475296	16.23626854	8.41448912	6.048402642	2.988376974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BP6.bin16	2.528505179	3.150842706	6.740751628	9.073950969	4.103432186	3.787341967	0.571835238	0.357261822	0.593440106	0.060288227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137874664	0.175893422	0.173583135	0.123324033	0.126950784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025951148	0.052341118	0.023332519	0.009615026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.575751833	0.277679184	0.44126877	0.534692007	0.527437661	0.402977245
BP6.bin18	1.122520885	1.281584153	9.328437838	4.476781058	1.847071875	3.406408998	0.128001176	0.089590899	0.139378917	0.035598337	0	0	0.013408015	0.00599685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.407382994	0.308110072	0.25679325	0.315842308	0.213582083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043206625	0.059080567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.046554141	0.013049284	0.150187416	0.168195721	0.211704197	0.637177449
