	bin	env	Random	spat	R2
382	MAS4.bin76	0.177533207	0.071991086	0.750475707	0.969785937
217	DS4.bin36	0.325410696	0.15826007	0.516329234	0.967523794
389	DBS1-1.bin66	0.163237981	0.088738857	0.748023162	0.965646694
281	WH5.bin35	0.277978514	0.120279975	0.601741511	0.964739498
269	JA4.bin26	0.286333915	0.098357327	0.615308758	0.961620373
373	DBS1-3.bin99	0.18593065	0.087768717	0.726300633	0.96042366
230	DBS2-1.bin103	0.31751364	0.116775938	0.565710423	0.96021664
181	YS4.bin44	0.351495809	0.082951102	0.565553089	0.958951899
330	YF1.bin41	0.23107312	0.066432556	0.702494324	0.958814309
306	YF3.bin41	0.257545161	0.108687287	0.633767552	0.958154875
314	DBS1-1.bin27	0.247598505	0.068696363	0.683705133	0.957802882
301	YF4.bin27	0.261753846	0.101918554	0.6363276	0.95737414
65	DX2.bin30	0.452960564	0.146700567	0.400338869	0.956529143
400	DBS1-2.bin79	0.14328988	0.089423061	0.767287059	0.956265128
219	DBS1-1.bin30	0.323051129	0.128668376	0.548280495	0.952091796
366	TL2-1.bin26	0.190797309	0.216647329	0.592555362	0.9515579
388	WH5.bin6	0.166510053	0.253773432	0.579716515	0.94897417
257	DBS2-5.bin46	0.295455184	0.185447667	0.519097149	0.948844062
336	WH4.bin5	0.221006053	0.102984285	0.676009662	0.948576473
49	YP2.bin11	0.469305426	0.21346988	0.317224694	0.947794883
238	DBS1-1.bin73	0.313825319	0.070960119	0.615214562	0.947299335
24	DBS1-3.bin152	0.519116307	0.11249663	0.368387063	0.946596372
372	TL1-5.bin5	0.186275738	0.167442267	0.646281994	0.946570344
112	MAS3.bin25	0.405771853	0.175080104	0.419148044	0.945900308
236	FK5.bin35	0.315010581	0.076509559	0.60847986	0.945626969
118	DS4.bin12	0.400197407	0.127769181	0.472033412	0.944378042
276	MAS5.bin32	0.282009289	0.067758673	0.650232038	0.944371886
208	DBS2-5.bin24	0.335207084	0.127237124	0.537555791	0.944100618
313	TL1-2.bin18	0.248827192	0.108414752	0.642758057	0.944088187
305	MAS5.bin4	0.260069219	0.086140603	0.653790178	0.942902973
331	HSP1.bin5	0.23029905	0.236367592	0.533333358	0.942350696
162	TL1-2.bin13	0.369030099	0.249469734	0.381500167	0.942311036
29	DBS1-1.bin98	0.504647216	0.111139943	0.384212841	0.94092903
124	YS4.bin54	0.396931399	0.184485045	0.418583556	0.940571054
98	WY1.bin85	0.416895624	0.306279314	0.276825062	0.938624099
369	YS1.bin2	0.188795375	0.182785202	0.628419423	0.938291669
76	LL2.bin60	0.440821493	0.298881422	0.260297085	0.93724108
45	YP3.bin107	0.473873408	0.148320388	0.377806204	0.935559846
94	WY5.bin4	0.420030903	0.333213684	0.246755413	0.93442614
387	LSA2.bin103	0.169998087	0.190457199	0.639544714	0.933793502
401	YF2.bin89	0.142480569	0.138542024	0.718977407	0.933430633
385	DX4.bin7	0.175538045	0.082650534	0.741811421	0.932590675
74	MAS3.bin164	0.441650576	0.189849974	0.368499449	0.931869807
80	YP4.bin8	0.434618813	0.222295398	0.343085789	0.931858503
398	TL1-4.bin24	0.150704655	0.125672779	0.723622566	0.931844414
355	YS3.bin7	0.204381322	0.197560162	0.598058516	0.93172772
212	LSA3.bin61	0.330133497	0.157568752	0.512297751	0.931667102
147	WY3.bin88	0.383406676	0.237486065	0.379107259	0.931091949
329	HSP1.bin8	0.232001132	0.105139227	0.66285964	0.930905376
406	TL2-4.bin8	0.118712606	0.046692435	0.834594959	0.930494308
116	DS3.bin17	0.400468744	0.277691904	0.321839352	0.928930179
100	WY5.bin114	0.415415568	0.263868896	0.320715536	0.928411884
95	TL1-3.bin47	0.419752773	0.253936218	0.326311009	0.925772445
274	WH2.bin97	0.283291073	0.067455788	0.649253139	0.925379037
104	DX4.bin16	0.41185454	0.094291446	0.493854015	0.92487423
235	TL1-3.bin12	0.315343953	0.112140367	0.57251568	0.923079135
63	TL2-1.bin17	0.454024796	0.043844212	0.502130993	0.921736441
393	WH5.bin1	0.156731795	0.198572917	0.644695289	0.92155259
344	TL1-2.bin14	0.214603794	0.229248356	0.55614785	0.92139283
242	DS4.bin6	0.312851983	0.104494478	0.582653539	0.921310459
381	YS5.bin20	0.178816267	0.079487501	0.741696233	0.921065307
138	WY5.bin52	0.387371621	0.110056289	0.50257209	0.919220089
386	DX1.bin25	0.175195942	0.121611945	0.703192112	0.918946757
243	ZJ1.bin64	0.311949206	0.415168702	0.272882092	0.918405397
194	HSP2.bin20	0.345756407	0.349884374	0.304359219	0.918188257
101	YS1.bin1	0.413122498	0.326864173	0.260013329	0.917580587
5	DBS2-1.bin161	0.593471072	0.22361461	0.182914318	0.917038827
323	YF4.bin33	0.242074785	0.119610094	0.638315121	0.916310738
356	YP4.bin107	0.20382491	0.087622649	0.708552441	0.915334185
374	YS5.bin32	0.185102947	0.109328234	0.705568819	0.915243854
245	FK5.bin36	0.311592127	0.116978488	0.571429384	0.915027638
151	YP4.bin20	0.38081911	0.190745533	0.428435357	0.914290258
211	YP4.bin86	0.330706866	0.161344215	0.507948919	0.913759449
89	SKS3.bin23	0.42349535	0.172178577	0.404326073	0.913244843
143	WH4.bin44	0.385211394	0.208186349	0.406602256	0.912666968
38	WY4.bin64	0.483428663	0.302050691	0.214520645	0.91246823
351	MAS3.bin145	0.210122542	0.030453143	0.759424315	0.911507326
174	ZJ3.bin72	0.358490001	0.131775091	0.509734908	0.910686518
111	WY1.bin3	0.406002611	0.16354889	0.430448499	0.910509958
52	DS4.bin2	0.467514284	0.216811467	0.315674249	0.908623699
73	WY1.bin55	0.442686754	0.255875252	0.301437994	0.907629871
137	YF2.bin76	0.387666841	0.037846447	0.574486712	0.907288013
377	HSP1.bin42	0.180584679	0.116882612	0.702532709	0.906262491
233	WH2.bin41	0.315626854	0.146992356	0.53738079	0.905628091
157	YP3.bin8	0.374418868	0.425146325	0.200434807	0.905470341
4	FK3.bin132	0.60869008	0.234421839	0.156888081	0.905373043
321	SKS5.bin20	0.243278368	0.389904244	0.366817388	0.904861673
113	DX1.bin19	0.405768882	0.171626282	0.422604836	0.904767497
177	MAS3.bin175	0.35599869	0.161763948	0.482237362	0.903731881
226	MAS4.bin11	0.320765684	0.257646419	0.421587898	0.90342776
254	YS3.bin20	0.297136557	0.170406785	0.532456658	0.902641843
229	DBS2-4.bin122	0.320414571	0.222291942	0.457293487	0.902359022
168	LSA4.bin65	0.362745614	0.288914943	0.348339442	0.901725761
148	TL1-4.bin61	0.383218513	0.233842345	0.382939143	0.901631091
19	BP9.bin53	0.529622231	0.261356166	0.209021603	0.901229318
129	WY5.bin3	0.393495862	0.291537559	0.314966579	0.901064748
247	SKS5.bin27	0.309018188	0.138516234	0.552465578	0.901053818
180	DX1.bin92	0.35378177	0.219372764	0.426845466	0.900201343
191	JA1.bin30	0.346667399	0.370057056	0.283275545	0.899981454
25	DBS1-2.bin72	0.51648142	0.114843542	0.368675038	0.899464284
246	YF3.bin39	0.311563776	0.279712241	0.408723983	0.897783145
357	TL1-5.bin67	0.203027248	0.141121788	0.655850964	0.895891529
352	MAS2.bin5	0.20575953	0.127652041	0.666588429	0.895491278
60	MAS2.bin24	0.455303834	0.176215324	0.368480842	0.893915713
290	SKS3.bin80	0.268035902	0.271013955	0.460950143	0.892987402
270	WY2.bin1	0.286087116	0.261389331	0.452523553	0.89261046
15	DS4.bin71	0.538743338	0.175539332	0.285717331	0.892004149
299	TL2-2.bin3	0.264096941	0.11534914	0.62055392	0.891905915
252	HSP1.bin25	0.299731273	0.265376291	0.434892436	0.89188962
91	DX4.bin28	0.421739903	0.147166357	0.43109374	0.891347503
62	YP5.bin4	0.454551454	0.275528133	0.269920413	0.891103796
175	SKS5.bin32	0.358125733	0.163612678	0.478261589	0.890679121
189	DX1.bin38	0.348419281	0.131149984	0.520430735	0.889384681
55	DBS1-1.bin44	0.459568802	0.426079264	0.114351935	0.888509072
132	DBS1-1.bin97	0.391109484	0.20225012	0.406640396	0.887586754
67	DBS2-4.bin129	0.451846923	0.287380306	0.260772771	0.887275743
312	TL2-5.bin23	0.248960853	0.130319395	0.620719752	0.88641351
292	TL2-1.bin30	0.267402914	0.214608473	0.517988613	0.88637249
368	HSP1.bin33	0.188876538	0.19440205	0.616721412	0.885775892
204	SKS5.bin110	0.340977998	0.2460101	0.413011902	0.885122404
13	WY4.bin48	0.546800341	0.216888635	0.236311024	0.883244837
8	YS4.bin60	0.572838343	0.188138173	0.239023484	0.882911365
316	YP4.bin118	0.247149447	0.210238621	0.542611933	0.882313155
307	TL1-5.bin89	0.257149444	0.227806808	0.515043748	0.882017317
259	SKS4.bin11	0.294082117	0.091049716	0.614868167	0.882007246
326	MAS3.bin42	0.235008941	0.153141611	0.611849449	0.881748023
121	TL1-4.bin29	0.399155303	0.074661281	0.526183416	0.881447378
201	JA6.bin32	0.342234739	0.338937145	0.318828117	0.881230926
7	BP5.bin66	0.576569632	0.220348576	0.203081792	0.881221998
258	TL2-2.bin1	0.294529638	0.187068431	0.518401932	0.881188519
342	TL1-3.bin61	0.216251262	0.232219542	0.551529195	0.878879067
251	SKS4.bin30	0.302514253	0.115844387	0.581641361	0.87885997
256	DBS1-3.bin23	0.295763089	0.123245163	0.580991748	0.878750378
165	YP4.bin84	0.364560842	0.160817389	0.47462177	0.878426059
11	DBS2-1.bin46	0.559614499	0.201717118	0.238668383	0.877270209
409	YP4.bin96	0.081579793	0.055407352	0.863012855	0.877106771
31	BP4.bin27	0.502100139	0.242230271	0.25566959	0.876991494
106	TL1-4.bin4	0.410807985	0.072496878	0.516695137	0.876653528
282	HSP2.bin32	0.277009832	0.163909005	0.559081163	0.875989105
130	DBS1-3.bin15	0.393459979	0.48151032	0.125029701	0.875411993
232	JA1.bin24	0.316886806	0.146662023	0.53645117	0.874615494
334	YS4.bin12	0.222157481	0.420680215	0.357162304	0.874515598
14	FK1.bin80	0.544003128	0.185101119	0.270895752	0.872952198
187	FK1.bin81	0.348915133	0.142597217	0.508487651	0.872596952
240	YS2.bin24	0.31337446	0.370907986	0.315717554	0.871794438
225	TL1-2.bin12	0.321002793	0.218821808	0.460175399	0.871644948
288	HSP1.bin12	0.271212714	0.231549906	0.49723738	0.870282787
354	FK2.bin63	0.204404143	0.031926157	0.7636697	0.870162265
115	YF1.bin22	0.40060514	0.222934153	0.376460706	0.8692018
2	LSA3.bin19	0.619421532	0.245383258	0.13519521	0.868881364
6	DBS1-3.bin56	0.581710185	0.193154735	0.225135079	0.868718783
370	MAS1.bin64	0.187113422	0.278533691	0.534352887	0.868227905
380	YS4.bin59	0.178938022	0.12233291	0.698729068	0.867999657
10	YP4.bin125	0.561484982	0.203133188	0.235381829	0.867391793
332	YS1.bin6	0.230279523	0.293172876	0.476547601	0.866499019
268	TL2-1.bin6	0.286353418	0.211675097	0.501971486	0.866410943
167	DX2.bin12	0.362940194	0.149092912	0.487966895	0.865708929
141	ZJ1.bin14	0.385678833	0.200693656	0.413627512	0.865324015
289	LSA3.bin14	0.268164575	0.197441494	0.534393931	0.864931175
23	LSA5.bin63	0.526312889	0.31550025	0.158186861	0.864691524
320	TL1-5.bin33	0.243485629	0.22729378	0.529220591	0.863888479
119	WH5.bin26	0.399404772	0.362286392	0.238308835	0.860863232
199	BP5.bin115	0.343919501	0.114321782	0.541758716	0.860458123
234	JA4.bin48	0.315569871	0.184811771	0.499618357	0.86041913
145	MAS1.bin33	0.38481457	0.08536191	0.52982352	0.860138722
317	TL1-4.bin17	0.24604727	0.249371582	0.504581148	0.85985103
339	WH5.bin29	0.21903161	0.242987489	0.537980901	0.858906645
26	DBS1-1.bin141	0.514792546	0.201740109	0.283467345	0.858030015
123	YP3.bin16	0.398534437	0.376712876	0.224752687	0.857873674
260	DS4.bin65	0.291464451	0.285212319	0.42332323	0.857016841
202	FK1.bin29	0.341236087	0.121567633	0.537196281	0.855959613
310	TL1-5.bin43	0.251187172	0.261440838	0.48737199	0.855090177
